CIS*1000,CIS,1000,Introduction to Computer Applications,"S,F,W",3,2,0.5,"This course provides a survey of computer systems and software, including an introduction to computer programming, data organization and the social impact of computing. The course emphasizes application packages for personal and business use. ",,,"CIS*1200, Not available to students registered in BASC:AHN, BCOMP degree or a CIS minor.",,School of Computer Science,Offered through Distance Education format only.
CIS*1050,CIS,1050,Web Design and Development,"S,W",0,0,0.5,"An introduction to the basics of designing and developing a website. It examines the basic concepts, technologies, issues and techniques required to develop and maintain websites. The course is suitable for students with no previous programming experience. ",,,,,School of Computer Science,Offered through Distance Education format only.
CIS*1200,CIS,1200,Introduction to Computing,"F,W",3,2,0.5,"This course covers an introduction to computer hardware and software, data organization, problem-solving and programming. The course includes exposure to application packages for personal and business use and is intended forstudents who wish a balance between programming and the use of software packages. ",,,CIS*1000 Not available to students registered in a BCOMP degree or a CIS minor.,,School of Computer Science,Offered through Distance Education format only.
CIS*1250,CIS,1250,Software Design I,F,3,2,0.5,"This is an introductory course which involves a general overview of design and problem solving as it is practiced in different disciplines. The course will include an examination of the qualities of software as the end product of the design process. It will include a study of the pervasiveness of software, and the platform specific considerations. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ",,,Restricted to students in BCOMP:SENG and BCOMP:SENG:C,,School of Computer Science,
CIS*1300,CIS,1300,Programming,F,3,2,0.5,"This course examines the applied and conceptual aspects of programming. Topics may include data and control structures, program design, problem solving and algorithm design, operating systems concepts, and fundamental programming skills. This course is intended for students who plan to take later CIS courses. If your degree does not require further CIS courses consider CIS*1500 Introduction to Programming. ",,,CIS*1500 This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,,School of Computer Science,
CIS*1500,CIS,1500,Introduction to Programming,"F,W",3,1,0.5,"This course introduces problem-solving, programming and data organization techniques required for applications using a general purpose programming language. Topics include control structures, data representation and manipulation, program logic, development and testing. This course is intended for students who do not intend to enroll in further CIS courses. If your degree requires further CIS courses, CIS*1300, is required. ",,,"CIS*1300 Not available to students registered in a BCOMP degree, a CIS minor, BENG:CENG or BENG:ESC.",,School of Computer Science,Also offered through Distance Education format.
CIS*1910,CIS,1910,Discrete Structures in Computing I,F,3,2,0.5,"This course is an introduction to discrete structures and formal methodologies used in computer science, including Boolean, algebra, propositional logic, predicate logic, proof techniques, set theory, equivalence relations, order relations, and functions. ",,,,,School of Computer Science,
CIS*2030,CIS,2030,Structure and Application of Microcomputers,F,3,3,0.5,"This course examines the components of a computer system, including memories, CPU, buses, and input/output subsystems and interface hardware. Programming of these systems is studied, including instruction sets, addressing modes, assembly/machine language programming, development of algorithms for data acquisition, display, and process control. ","CIS*1910, CIS*2500",,,,School of Computer Science,
CIS*2170,CIS,2170,User Interface Design,W,3,2,0.75,"This course is a practical introduction to the area of user interface construction. Topics include user interface components and their application, best practices for user interface design, approaches to prototyping, and techniques for assessing interface suitability. ","1 of CIS*1200, CIS*1300, CIS*1500",,,,School of Computer Science,
CIS*2250,CIS,2250,Software Design II,W,3,2,0.5,"This course focuses on the process of software design. Best practices for code development and review will be the examined. The software development process and tools to support this will be studied along with methods for project management. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ","CIS*1250, CIS*1300",,Restricted to BCOMP:SENG majors.,,School of Computer Science,
CIS*2430,CIS,2430,Object Oriented Programming,F,3,2,0.5,"This course introduces the Object Oriented (OO) approach to programming and algorithm design. Topics will include the creation and use of objects from class libraries, user defined objects, inheritance, modularity, generic code, components, collections and containers, and an introduction to OO design methodologies. ",CIS*2500,,,,School of Computer Science,
CIS*2500,CIS,2500,Intermediate Programming,W,3,2,0.5,"In this course students learn to interpret a program specification and implement it as reliable code, as they gain experience with pointers, complex data types, important algorithms, intermediate tools and techniques in problem solving, programming, and program testing. ",CIS*1300,,,,School of Computer Science,
CIS*2520,CIS,2520,Data Structures,F,3,2,0.5,"This course is a study of basic data structures, such as lists, stacks, queues, trees, and tables. Topics which will be examined include abstract data types, sequential and linked representations, and an introduction to algorithm analysis; various traversal, search, insertion, removal, and sorting algorithms. ","CIS*2500, (1 of CIS*1910, ENGG*1500, MATH*2000)",,,,School of Computer Science,
CIS*2750,CIS,2750,Software Systems Development and Integration,W,3,2,0.75,"This course introduces techniques and tools used in the development of large software systems. Students learn methods for organizing and constructing modular systems, manipulating files, introductory interface design, and use of databases. Software tools for managing projects, database connectivity, configuration management, and system application programmer interfaces are also covered. ","CIS*2430, CIS*2520",,,,School of Computer Science,
CIS*2910,CIS,2910,Discrete Structures in Computing II,W,3,2,0.5,"This course is a further introduction to discrete structures and formal methodologies used in computer science, including sequences, summations, recursion, combinatorics, discrete probability, and graph theory. ","CIS*1300, (CIS*1910 or ENGG*1500)",,,,School of Computer Science,
CIS*3050,CIS,3050,Systems Programming,F,3,1,0.5,"This course will familiarize students with system level interface tools and their common applications. The purpose, function, design and use of these tools will be explored, allowing students to determine where and when these tools are useful in software development projects. Tools examined in the course include loadable libraries, file system locking, signals, pipes, asynchronous reading/writing to files and memory, file system sockets, shared memory models, and hardware device properties and control. ",CIS*3110,,,,School of Computer Science,
